20W340155|3.09|PNT/ 0580 -  0497 / 0517|910
19U430038|16.76||910
19U410018||0223 / 0215 -  0169 / 0186|110
19U410173|8.54|IRR/IRR-  0474 / 0596|110
19U410063|1.00|0209 / 0209 -  0209 / 0209|910
19U430083|1.00|0209 / 0209 -  0209 / 0209|910
19V620074|0.23|0239 /PNT-  0182 / 0111|910
19V620117|1.38|0138 / 0643 -  0111 / 0518|190
19V620096||0230 / 0200 -  0032 / 0051|910
19V620106||0142 / 0136 -  0020 / 0051|910
19V620205|0.25|IRR/ 0138 -  0053 / 0090|110
19V620052||0136 / 0175 -  0832 /IRR|910
19V630017|22.26||910
19V620151||0174 / 0185 -  0017 / 0096|910
19V620063|3.30|0174 / 0175 -  0814 / 0832|910
19V610206|0.44|0101 / 0099 -  0197 / 0190|910
19V610064|10.43||910
19V640050|2.75||910
20W620095|1.48|0185 / 0208 -  0319 / 0302|910
20W640024|1.35|0199 / 0172 -  0311 / 0343|910
19W420026||0121 /      -  0360 /|910
20W640033|1.41|0170 / 0255 -  0282 / 0311|910
20W640042|1.49|0173 / 0267 -  0328 / 0282|910
21R520171||0080 /      -  0150 /|110
22T520363||0100 /      -  0270 / 0265|110
22T211809|0.54|0110 / 0110 -    0215 / 0215|910
21R540779||0016 / 0028 -  0140 / 0166|910
22U340362||0097 /IRR-  0098 / 0139|110
22U540452|3.28|0824 / 0721 -  0395 /PNT|910
22U540461|2.80|0310 / 0301 -  0508 / 0395|910
22U410221|0.62|0110 / 0115 -  0261 / 0229|110
23V541112|0.21|0060 / 0043 -IRR/ 0157|110
21R130323||0120 / 0120 -  0130 / 0128|110
21R330147||0081 / 0145 -  0144 / 0211|110
22R320282|0.54|0102 / 0078 -  0250 / 0206|110
22R630583||0085 /      -  0121 / 0119|110
22Q410207||0090 /      -  0152 / 0151|110
21T620110||IRR/ 0119 -  0140 / 0116|110
21S130445|||110
21S130490|||110
21Q440458|0.50|0103 / 0182 -  0177 / 0178|110
16Q241040|||110
16Q240647|||110
16R220271|0.22|0100 / 0067 -   0107 / 0113|910
20R340240|||110
20R520659|0.37|0080 / 0155 -IRR/ 0151|110
17R140125|0.79|IRR/ 0150 -  0208 / 0253|110
20R111019|||110
18S631625|0.08|0025 / 0042 -IRR/ 0086|110
18S631483|0.08|0040 / 0040 -  0085 / 0085|110
19S210568||0073 / 0148 -  0126 / 0126|110
20S410506||0087 / 0085 -  0125 / 0125|110
17R510243||0088 / 0113 -  0140 / 0150|110
19S410571|||110
16Q540112||0095 / 0093 -  0163 /IRR|110
18Q111363|||110
16Q311862|||110
21R640576|0.36|0153 / 0071 -   0126 / 0136|110
25S120725|0.85|0172 / 0172 -  0216 / 0216|910
23Q330731|0.28|0075 / 0110 -  0130 / 0130|910
24Q210335||0076 /      -  0123 /|110
24Q330547|0.27|0081 / 0130 -  0119 / 0128|110
24Q121464|||110
24R130962|0.23|0076 / 0053 -  0145 / 0162|110
24T330423|0.03|0147 / 0154 -  0027 /PNT|910
23Q620096||0086 / 0086 -  0267 / 0267|110
23R540456||0050 / 0050 -  0150 / 0150|910
23S140370||0103 / 0103 -  0140 / 0140|110
23R230715||0087 / 0119 -  0157 / 0147|110
23T410908|0.07|0010 / 0010 -    0296 / 0295|910
23Q330236||0105 / 0065 -  0154 / 0140|110
23T510916|0.99|0102 / 0099 -  0424 / 0449|910
24S441188||0028 / 0028 -  0082 / 0082|110
27T441058|0.08|0013 / 0074 -  0094 / 0075|110
24R530775||0056 /IRR-  0153 / 0105|110
24S620501||0026 / 0090 -  0094 / 0067|110
27T440815||0050 /      -  0190 /|190
26T120422|0.39|0175 / 0135 -IRR/ 0100|110
24S220871|0.19|0070 / 0070 -  0117 / 0115|110
26S630434|0.39|0090 / 0100 -  0083 / 0089|110
25S220078|0.13|0111 /PNT-  0108 / 0124|910
25R640062|||110
24T330351|0.14|0206 / 0201 -PNT/ 0050|910
24S230643|0.01|0015 / 0016 -PNT/ 0004|910
24P410415||0107 / 0043 -  0165 / 0148|110
25Q440041||0047 /IRR-  0100 / 0120|110
24Q420545||0071 /      -  0125 /|110
25R330253|0.01|0040 / 0049 -PNT/ 0018|910
25S240900|0.17|0100 / 0100 -  0079 / 0068|110
25S240919|0.19|0217 / 0215 -  0067 /PNT|910
25S220595||0050 / 0060 -  0127 / 0110|910
29V330486||0100 / 0100 -  0166 / 0166|711
30V210180||0101 / 0101 -  0275 / 0279|110
29V210201||0059 / 0062 -  0130 /|110
28U520368||0188 /      -  0116 /|910
28U520401||0086 / 0088 -  0134 / 0163|910
29V210058||0060 /      -  0125 /|110
29V140065|||601
29P131274|0.06|0070 / 0070 -    0036 / 0036|910
29Q610730|||110
28P230543|0.28|0045 / 0154 -  0135 / 0138|110
28P530522|0.18|0200 / 0200 -  0080 /PNT|910
27Q620375||0070 / 0069 -  0110 /|110
27P420808||0060 /      -  0132 /|110
27P420341||0064 / 0078 -  0142 / 0097|110
27O520310|0.05|0091 /PNT-   0057 / 0071|910
29P420705|0.21|0104 / 0047 -  0120 / 0120|110
09J240468||0083 / 0123 -  0120 / 0130|110
08K610177||0072 /      -  0070 /|115
07K210743||0060 /      -  0134 /|110
08K340841||0050 /      -  0150 /|910
06J130531||0061 /      -  0127 /|110
08K340896||0050 /      -  0150 /|910
05J220334||0065 / 0060 -  0096 / 0107|110
08L440742|0.18|0083 / 0062 -  0105 / 0105|110
07L140353|0.23|0080 / 0080 -  0125 / 0125|110
08J241204|0.20|0055 / 0055 -  0160 / 0160|110
08J130193||0053 / 0053 -  0161 / 0161|110
06J410338||0069 /      -  0110 /|110
06K340915||0072 / 0075 -  0113 / 0111|110
05J211457|0.17|0064 / 0067 -  0138 / 0097|110
08J241303|0.18|0070 / 0070 -  0110 / 0110|110
07K630536||0076 /      -  0099 /|110
08K341590|0.08|0071 / 0071 -   0051 / 0051|910
05J120487||0068 / 0071 -  0102 / 0102|110
05J111115|0.25|0065 / 0112 -    0130 / 0127|110
09J520881||0055 /      -  0137 /|110
06K340883||0065 /      -  0116 /|110
05J120630||0035 / 0128 -IRR/ 0091|110
09J330723||0055 / 0059 -  0172 / 0185|110
07K421075||0061 /      -  0140 /|110
09J230315||0056 / 0098 -  0110 /IRR|110
07K540655||0066 / 0066 -  0130 / 0130|110
06K430137||0081 /      -  0100 /|110
08J540800|0.65|0020 / 0170 -  0298 /IRR|637
07K540600||0070 /      -  0120 /|110
06K440697||0062 / 0062 -  0115 / 0115|110
07K340202||0075 /      -  0125 /|110
06K210401||0061 /      -  0124 /|110
06K521778|||110
05J411273|0.04|0079 / 0079 -  0019 / 0019|910
06K440873||0060 / 0060 -  0115 / 0115|110
06K631174|0.24|0070 / 0070 -  0150 / 0150|110
07L240068|0.25|0085 / 0085 -  0130 / 0130|110
08K430755|0.24|IRR/PNT-  0167 / 0128|110
07K340125||0068 /      -  0111 /|110
06K240695|||110
06K120124||0064 / 0064 -  0119 / 0119|110
06K240723|||110
06K320269||0047 /IRR-  0143 / 0130|110
